"actorId","phase","currentBoundary","pointer","targetIds","startUtf16","endUtf16","text","coverage","work","deterministicOperations","prerequisites","residual","expected"
"chief-bjarni","initial","initial submitted frontier","/rawText","[""ysby"",""boats""]","54","69","也标出风暴季前必须完成的修补。","fallback","推断/选择/规划","[]","相关证据由该主体合法获得，并保留自主判断。管船管仓者须绑定；船只材料和逐船修补状态不能由笼统库存推导。","计算合法不能证明推断、意愿或外交结果正确；计划不是完成","按实际核查形成余量、不可离港船只和修补清单；保留条件与期限。"
"chief-kalfvald","initial","initial submitted frontier","/rawText","[""son"",""daretop"",""ragnar""]","0","20","我把 Hamdir 叫到粮仓旁单独谈话。","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。Hamdir 有独立心智；召到粮仓旁和私密通道尚需成立。","群体不是心智；请求、派出、到达和执行不能相互推导","记录私下谈话和 Hamdir 的选择；父亲的誓言不得自动转给儿子。"
"chief-kalfvald","initial","initial submitted frontier","/rawText","[""son"",""daretop"",""ragnar""]","20","56","我先说清自己向 Ragnar 立下的誓言仍要由我本人履行，不会替他答应；","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。Hamdir 有独立心智；召到粮仓旁和私密通道尚需成立。","发出内容不证明送达、答复、相信、服从或后续任务完成","记录私下谈话和 Hamdir 的选择；父亲的誓言不得自动转给儿子。"
"chief-kalfvald","initial","initial submitted frontier","/rawText","[""son"",""daretop"",""ragnar""]","56","110","然后问他：若我因年迈不能亲往，Daretop 的粮船与人力他打算如何在援王与保护聚落之间取舍，要他把话说定。","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。Hamdir 有独立心智；召到粮仓旁和私密通道尚需成立。","发出内容不证明送达、答复、相信、服从或后续任务完成","记录私下谈话和 Hamdir 的选择；父亲的誓言不得自动转给儿子。"
"chief-yngvar","initial","initial submitted frontier","/rawText","[""gamla"",""grain""]","0","24","先巡查 Gamla 的仓储、粮袋与西侧沼泽哨位，","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。巡查场所、袋数、可出战人数和消耗率不等同于抽象 provisions 总量。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","有来源的袋数、天数、人数组成结果；缺少消耗率就不捏造天数。"
"chief-yngvar","initial","initial submitted frontier","/rawText","[""gamla"",""grain""]","24","45","确认本季收成、护卫人数和一旦断粮能撑多久；","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。巡查场所、袋数、可出战人数和消耗率不等同于抽象 provisions 总量。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","有来源的袋数、天数、人数组成结果；缺少消耗率就不捏造天数。"
"chief-yngvar","initial","initial submitted frontier","/rawText","[""gamla"",""grain""]","45","64","把结果按袋数、日数和可出战人数列出来。","fallback","记录/复述","[]","原始数据、证词来源、记录载体或实际复述存在。巡查场所、袋数、可出战人数和消耗率不等同于抽象 provisions 总量。","复制不能创造被抄信息，也不能把意图或命令当作已有记录","有来源的袋数、天数、人数组成结果；缺少消耗率就不捏造天数。"
"curator-iseult-vale","initial","initial submitted frontier","/rawText","[""sealed-index"",""self""]","0","20","重新核对密封索引的编号、笔迹与交叉引用，","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。索引对象存在不代表每页编号、笔迹和交叉引用已经显式建模。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","逐条可核对抄录；仍在活动的设施与地点须有来源，未知留空。"
"curator-iseult-vale","initial","initial submitted frontier","/rawText","[""sealed-index"",""self""]","20","40","把能确认的 Atacyl 记号单独抄出，","fallback","记录/复述","[]","原始数据、证词来源、记录载体或实际复述存在。索引对象存在不代表每页编号、笔迹和交叉引用已经显式建模。","复制不能创造被抄信息，也不能把意图或命令当作已有记录","逐条可核对抄录；仍在活动的设施与地点须有来源，未知留空。"
"curator-iseult-vale","initial","initial submitted frontier","/rawText","[""sealed-index"",""self""]","40","63","同时检查有无指向仍在活动的设施名称或地点线索。","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。索引对象存在不代表每页编号、笔迹和交叉引用已经显式建模。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","逐条可核对抄录；仍在活动的设施与地点须有来源，未知留空。"
"duke-caedwine","initial","initial submitted frontier","/rawText","[""capital"",""duchy""]","0","15","派人请在城中逗留的新来者赴宴，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。派遣、宴请和侍从调查是并行意图；不能直接获得新来者经历或商机。","群体不是心智；请求、派出、到达和执行不能相互推导","保存邀请与调查两支进度、实际回应和证词来源；未接触则继续。"
"duke-caedwine","initial","initial submitted frontier","/rawText","[""capital"",""duchy""]","15","37","以公爵的名义邀请他讲述亲自经历的危险与见闻；","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。派遣、宴请和侍从调查是并行意图；不能直接获得新来者经历或商机。","发出内容不证明送达、答复、相信、服从或后续任务完成","保存邀请与调查两支进度、实际回应和证词来源；未接触则继续。"
"duke-caedwine","initial","initial submitted frontier","/rawText","[""capital"",""duchy""]","37","54","同时让侍从探问其来路和可谈的商机。","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。派遣、宴请和侍从调查是并行意图；不能直接获得新来者经历或商机。","群体不是心智；请求、派出、到达和执行不能相互推导","保存邀请与调查两支进度、实际回应和证词来源；未接触则继续。"
"ealdorman-paddock-ryburn","initial","initial submitted frontier","/rawText","[""sheriff"",""market-town""]","0","38","请 Barris 把本周三家大买家的报价、交割条件与在场证人整理成公开记录，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。Barris 自主反应；三家报价、证人和张贴地点需要实际来源与执行。","发出内容不证明送达、答复、相信、服从或后续任务完成","请求、整理、张贴分开；公示后才有接收可能，禁私雇不等于已拒绝一笔交易。"
"ealdorman-paddock-ryburn","initial","initial submitted frontier","/rawText","[""sheriff"",""market-town""]","38","62","并在市场上张贴告示：下轮竞价按同一公开程序进行，","fallback","物理操作/制作","[]","具体对象、资源所有权、数量、材料与执行规则成立。Barris 自主反应；三家报价、证人和张贴地点需要实际来源与执行。","抽象库存和工具名称不能证明加固、搬运、张贴或制作已发生","请求、整理、张贴分开；公示后才有接收可能，禁私雇不等于已拒绝一笔交易。"
"ealdorman-paddock-ryburn","initial","initial submitted frontier","/rawText","[""sheriff"",""market-town""]","62","88","任何私下雇用 constable 的行为都会被拒绝。","fallback","条件/否定/承诺约束","[]","原意完整保留，依赖的行动/证据满足后才检验其遵守情况。Barris 自主反应；三家报价、证人和张贴地点需要实际来源与执行。","约束文本可保存，但不是独立完成的世界工作，不计执行覆盖收益","请求、整理、张贴分开；公示后才有接收可能，禁私雇不等于已拒绝一笔交易。"
"egil-longhair","initial","initial submitted frontier","/rawText","[""ships"",""warriors"",""bay"",""raid-target""]","0","22","下令轮班休息的战士继续整备桨架、帆索与盾墙，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。整备与侦察并行；队伍行动、近岸感知与报告均不能从命令推导。","发出内容不证明送达、答复、相信、服从或后续任务完成","两支工作各记进展，报告只包含已观察证据，保留不得推断财富/弱点。"
"egil-longhair","initial","initial submitted frontier","/rawText","[""ships"",""warriors"",""bay"",""raid-target""]","22","53","同时派出小艇与岸上观察组在 Smoking Bay 近岸侦察：","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。整备与侦察并行；队伍行动、近岸感知与报告均不能从命令推导。","群体不是心智；请求、派出、到达和执行不能相互推导","两支工作各记进展，报告只包含已观察证据，保留不得推断财富/弱点。"
"egil-longhair","initial","initial submitted frontier","/rawText","[""ships"",""warriors"",""bay"",""raid-target""]","53","78","只回报实际看见的岸灯、航道、水深、守备迹象与人影，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。整备与侦察并行；队伍行动、近岸感知与报告均不能从命令推导。","发出内容不证明送达、答复、相信、服从或后续任务完成","两支工作各记进展，报告只包含已观察证据，保留不得推断财富/弱点。"
"egil-longhair","initial","initial submitted frontier","/rawText","[""ships"",""warriors"",""bay"",""raid-target""]","78","93","不许把猜想当作财富或弱点证据。","fallback","条件/否定/承诺约束","[]","原意完整保留，依赖的行动/证据满足后才检验其遵守情况。整备与侦察并行；队伍行动、近岸感知与报告均不能从命令推导。","约束文本可保存，但不是独立完成的世界工作，不计执行覆盖收益","两支工作各记进展，报告只包含已观察证据，保留不得推断财富/弱点。"
"gmung","initial","initial submitted frontier","/rawText","[""tribe"",""caves""]","0","17","召粮仓看守与亲族见证者到议事火前，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。看守与见证者是待绑定的个人；上轮贡额、冬粮分项与春耕周期需证据。","群体不是心智；请求、派出、到达和执行不能相互推导","两人独立复述与木板实录；不得把观点或预言写成确定库存事实。"
"gmung","initial","initial submitted frontier","/rawText","[""tribe"",""caves""]","17","43","让两人各自复述若按上一轮规模交贡会削减哪一部分冬粮，","fallback","记录/复述","[]","原始数据、证词来源、记录载体或实际复述存在。看守与见证者是待绑定的个人；上轮贡额、冬粮分项与春耕周期需证据。","复制不能创造被抄信息，也不能把意图或命令当作已有记录","两人独立复述与木板实录；不得把观点或预言写成确定库存事实。"
"gmung","initial","initial submitted frontier","/rawText","[""tribe"",""caves""]","43","60","并把可支撑到春耕的账目刻在木板上，","fallback","物理操作/制作","[]","具体对象、资源所有权、数量、材料与执行规则成立。看守与见证者是待绑定的个人；上轮贡额、冬粮分项与春耕周期需证据。","抽象库存和工具名称不能证明加固、搬运、张贴或制作已发生","两人独立复述与木板实录；不得把观点或预言写成确定库存事实。"
"gmung","initial","initial submitted frontier","/rawText","[""tribe"",""caves""]","60","73","作为公开判断依据而非预言。","fallback","条件/否定/承诺约束","[]","原意完整保留，依赖的行动/证据满足后才检验其遵守情况。看守与见证者是待绑定的个人；上轮贡额、冬粮分项与春耕周期需证据。","约束文本可保存，但不是独立完成的世界工作，不计执行覆盖收益","两人独立复述与木板实录；不得把观点或预言写成确定库存事实。"
"governor-tyrilas","initial","initial submitted frontier","/rawText","[""city""]","0","19","召集议会代表听取港口、市场与城民近况，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。议会各席不是一个心智；近况和关切须来自实际发言。","群体不是心智；请求、派出、到达和执行不能相互推导","召集后逐席记录观点，保持与总督立场分离。"
"governor-tyrilas","initial","initial submitted frontier","/rawText","[""city""]","19","47","要求各席分别说明对城堡下层风险与人类复权请愿的具体关切，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。议会各席不是一个心智；近况和关切须来自实际发言。","发出内容不证明送达、答复、相信、服从或后续任务完成","召集后逐席记录观点，保持与总督立场分离。"
"governor-tyrilas","initial","initial submitted frontier","/rawText","[""city""]","47","56","而不是替总督表态。","fallback","条件/否定/承诺约束","[]","原意完整保留，依赖的行动/证据满足后才检验其遵守情况。议会各席不是一个心智；近况和关切须来自实际发言。","约束文本可保存，但不是独立完成的世界工作，不计执行覆盖收益","召集后逐席记录观点，保持与总督立场分离。"
"hamdir","initial","initial submitted frontier","/attempts/0/text","[""father"",""daretop"",""grain-route""]","0","35","请父亲 Kalfvald 一同核对今年粮运、守备轮值与拟交给我的账册；","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。父子核账与远方使者两条并行线；保护承诺不同于援王誓言，未收条款不得表态。","发出内容不证明送达、答复、相信、服从或后续任务完成","核账、承诺、远方派遣、实际条件与回复分别有证据；两线保留未完成部分。"
"hamdir","initial","initial submitted frontier","/attempts/0/text","[""father"",""daretop"",""grain-route""]","35","68","我明确说明保护他、照料伤员和维持 Daretop 运转是我的承诺，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。父子核账与远方使者两条并行线；保护承诺不同于援王誓言，未收条款不得表态。","发出内容不证明送达、答复、相信、服从或后续任务完成","核账、承诺、远方派遣、实际条件与回复分别有证据；两线保留未完成部分。"
"hamdir","initial","initial submitted frontier","/attempts/0/text","[""father"",""daretop"",""grain-route""]","68","100","但不以儿子的身份自动承担他个人向 Ragnar 立下的援王誓言。","fallback","条件/否定/承诺约束","[]","原意完整保留，依赖的行动/证据满足后才检验其遵守情况。父子核账与远方使者两条并行线；保护承诺不同于援王誓言，未收条款不得表态。","约束文本可保存，但不是独立完成的世界工作，不计执行覆盖收益","核账、承诺、远方派遣、实际条件与回复分别有证据；两线保留未完成部分。"
"hamdir","initial","initial submitted frontier","/attempts/1/text","[""ragnar"",""yngvar"",""realm"",""grain-route""]","0","19","派出可靠亲信分别去王城与 Gamla，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。父子核账与远方使者两条并行线；保护承诺不同于援王誓言，未收条款不得表态。","群体不是心智；请求、派出、到达和执行不能相互推导","核账、承诺、远方派遣、实际条件与回复分别有证据；两线保留未完成部分。"
"hamdir","initial","initial submitted frontier","/attempts/1/text","[""ragnar"",""yngvar"",""realm"",""grain-route""]","19","75","只问两件事：他们各自要求 Daretop 交出多少粮、多少船、多少兵，期限多长，以及若遭报复谁来保护村田与粮道；","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。父子核账与远方使者两条并行线；保护承诺不同于援王誓言，未收条款不得表态。","发出内容不证明送达、答复、相信、服从或后续任务完成","核账、承诺、远方派遣、实际条件与回复分别有证据；两线保留未完成部分。"
"hamdir","initial","initial submitted frontier","/attempts/1/text","[""ragnar"",""yngvar"",""realm"",""grain-route""]","75","106","未收到成文条款前，我不代表 Daretop 表态支持任何一方。","fallback","条件/否定/承诺约束","[]","原意完整保留，依赖的行动/证据满足后才检验其遵守情况。父子核账与远方使者两条并行线；保护承诺不同于援王誓言，未收条款不得表态。","约束文本可保存，但不是独立完成的世界工作，不计执行覆盖收益","核账、承诺、远方派遣、实际条件与回复分别有证据；两线保留未完成部分。"
"harbor-wayfarer-1","initial","initial submitted frontier","/rawText","[]","0","29","向码头边靠着的领航人或搬运工打听哪里有便宜又安全的下榻处。","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。没有绑定的领航人/搬运工；harbor 是地点；来源未给明确房价、今夜床位或安全承诺。","发出内容不证明送达、答复、相信、服从或后续任务完成","须有实际接触、询问、受话者来源与交付；有用地点/证词与便宜安全住宿目标分别验收。"
"high-captain-sinerian","initial","initial submitted frontier","/rawText","[""ranger-order"",""ranger-seat""]","0","11","召集各巡逻圈队长会议，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。各巡逻圈队长须实际参与；航迹、活动和空档不是公开目标名称能替代的情报。","群体不是心智；请求、派出、到达和执行不能相互推导","逐段情报和无人回应路线有来源，之后的协同讨论仍属未决。"
"high-captain-sinerian","initial","initial submitted frontier","/rawText","[""ranger-order"",""ranger-seat""]","11","47","要求逐段列出 Vasan 航迹、Raven 活动与南方勘探压力下的空档，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。各巡逻圈队长须实际参与；航迹、活动和空档不是公开目标名称能替代的情报。","发出内容不证明送达、答复、相信、服从或后续任务完成","逐段情报和无人回应路线有来源，之后的协同讨论仍属未决。"
"high-captain-sinerian","initial","initial submitted frontier","/rawText","[""ranger-order"",""ranger-seat""]","47","58","先画出无人回应的路线，","fallback","记录/复述","[]","原始数据、证词来源、记录载体或实际复述存在。各巡逻圈队长须实际参与；航迹、活动和空档不是公开目标名称能替代的情报。","复制不能创造被抄信息，也不能把意图或命令当作已有记录","逐段情报和无人回应路线有来源，之后的协同讨论仍属未决。"
"high-captain-sinerian","initial","initial submitted frontier","/rawText","[""ranger-order"",""ranger-seat""]","58","68","再讨论如何重新结绳。","fallback","推断/选择/规划","[]","相关证据由该主体合法获得，并保留自主判断。各巡逻圈队长须实际参与；航迹、活动和空档不是公开目标名称能替代的情报。","计算合法不能证明推断、意愿或外交结果正确；计划不是完成","逐段情报和无人回应路线有来源，之后的协同讨论仍属未决。"
"high-chief-cruk","initial","initial submitted frontier","/attempts/0/text","[""sacred-grove"",""sacred-sword""]","0","21","以 High Chief 的身份巡视圣林，","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。圣林守卫轮换需观察；被守护者证据是前提，传话及六 chiefs 到场不能默认。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","巡视证据、叮嘱、派遣与会谈分别记录；远距/不可触碰及日落期限保留。"
"high-chief-cruk","initial","initial submitted frontier","/attempts/0/text","[""sacred-grove"",""sacred-sword""]","21","32","检查守卫轮换是否完整，","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。圣林守卫轮换需观察；被守护者证据是前提，传话及六 chiefs 到场不能默认。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","巡视证据、叮嘱、派遣与会谈分别记录；远距/不可触碰及日落期限保留。"
"high-chief-cruk","initial","initial submitted frontier","/attempts/0/text","[""sacred-grove"",""sacred-sword""]","32","72","并叮嘱值守者：在被守护者未给出新的可复核证据前，任何人都只可远距观察，不可触碰。","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。圣林守卫轮换需观察；被守护者证据是前提，传话及六 chiefs 到场不能默认。","发出内容不证明送达、答复、相信、服从或后续任务完成","巡视证据、叮嘱、派遣与会谈分别记录；远距/不可触碰及日落期限保留。"
"high-chief-cruk","initial","initial submitted frontier","/attempts/1/text","[""chief-council"",""tribe""]","0","28","派人传话召集六位 chiefs 于日落前在圣林外缘会谈，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。圣林守卫轮换需观察；被守护者证据是前提，传话及六 chiefs 到场不能默认。","群体不是心智；请求、派出、到达和执行不能相互推导","巡视证据、叮嘱、派遣与会谈分别记录；远距/不可触碰及日落期限保留。"
"high-chief-cruk","initial","initial submitted frontier","/attempts/1/text","[""chief-council"",""tribe""]","28","42","请他们各自带上亲族守卫名册，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。圣林守卫轮换需观察；被守护者证据是前提，传话及六 chiefs 到场不能默认。","发出内容不证明送达、答复、相信、服从或后续任务完成","巡视证据、叮嘱、派遣与会谈分别记录；远距/不可触碰及日落期限保留。"
"high-chief-cruk","initial","initial submitted frontier","/attempts/1/text","[""chief-council"",""tribe""]","42","64","并准备说明近期外来的寻剑传闻是否已传到本族。","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。圣林守卫轮换需观察；被守护者证据是前提，传话及六 chiefs 到场不能默认。","发出内容不证明送达、答复、相信、服从或后续任务完成","巡视证据、叮嘱、派遣与会谈分别记录；远距/不可触碰及日落期限保留。"
"john-abrams","initial","initial submitted frontier","/rawText","[""harbor"",""company""]","0","11","前往港区码头与信号岗，","fallback","移动/到场","[]","起终点、路线、移动规则、实际持续时间和接触成立。须移动到港区与信号岗；现有回港名册不等于那两艇已回信。","准备或提出前往不证明到达；不能用同一 placement 假定接触","保留名册核对来源；仅凭实际回信/灯号/避风消息更新失联判断。"
